Date,Close
6/5/2020,82.875
6/4/2020,80.58
6/3/2020,81.28
6/2/2020,80.835
6/1/2020,80.4625
5/31/2020,
5/30/2020,
5/29/2020,79.485
5/28/2020,79.5625
5/27/2020,79.5275
5/26/2020,79.1825
5/25/2020,
5/24/2020,
5/23/2020,
5/22/2020,79.7225
5/21/2020,79.2125
5/20/2020,79.8075
5/19/2020,78.285
5/18/2020,78.74
5/17/2020,
5/16/2020,
5/15/2020,76.9275
5/14/2020,77.385
5/13/2020,76.9125
5/12/2020,77.8525
5/11/2020,78.7525
5/10/2020,
5/9/2020,
5/8/2020,77.5325
5/7/2020,75.935
5/6/2020,75.1575
5/5/2020,74.39
5/4/2020,73.29
5/3/2020,
5/2/2020,
5/1/2020,72.2675
4/30/2020,73.45
4/29/2020,71.9325
4/28/2020,69.645
4/27/2020,70.7925
4/26/2020,
4/25/2020,
4/24/2020,70.7425
4/23/2020,68.7575
4/22/2020,69.025
4/21/2020,67.0925
4/20/2020,69.2325
4/19/2020,
4/18/2020,
4/17/2020,70.7
4/16/2020,71.6725
4/15/2020,71.1075
4/14/2020,71.7625
4/13/2020,68.3125
4/12/2020,
4/11/2020,
4/10/2020,
4/9/2020,66.9975
4/8/2020,66.5175
4/7/2020,64.8575
4/6/2020,65.6175
4/5/2020,
4/4/2020,
4/3/2020,60.3525
4/2/2020,61.2325
4/1/2020,60.2275
3/31/2020,63.5725
3/30/2020,63.7025
3/29/2020,
3/28/2020,
3/27/2020,61.935
3/26/2020,64.61
3/25/2020,61.38
3/24/2020,61.72
3/23/2020,56.0925
3/22/2020,
3/21/2020,
3/20/2020,57.31
3/19/2020,61.195
3/18/2020,61.6675
3/17/2020,63.215
3/16/2020,60.5525
3/15/2020,
3/14/2020,
3/13/2020,69.4925
3/12/2020,62.0575
3/11/2020,68.8575
3/10/2020,71.335
3/9/2020,66.5425
3/8/2020,
3/7/2020,
3/6/2020,72.2575
3/5/2020,73.23
3/4/2020,75.685
3/3/2020,72.33
3/2/2020,74.7025
3/1/2020,
2/29/2020,
2/28/2020,68.34
2/27/2020,68.38
2/26/2020,73.1625
2/25/2020,72.02
2/24/2020,74.545
2/23/2020,
2/22/2020,
2/21/2020,78.2625
2/20/2020,80.075
2/19/2020,80.905
2/18/2020,79.75
2/17/2020,
2/16/2020,
2/15/2020,
2/14/2020,81.2375
2/13/2020,81.2175
2/12/2020,81.8
2/11/2020,79.9025
2/10/2020,80.3875
2/9/2020,
2/8/2020,
2/7/2020,80.0075
2/6/2020,81.3025
2/5/2020,80.3625
2/4/2020,79.7125
2/3/2020,77.165
2/2/2020,
2/1/2020,
1/31/2020,77.3775
1/30/2020,80.9675
1/29/2020,81.085
1/28/2020,79.4225
1/27/2020,77.2375
1/26/2020,
1/25/2020,
1/24/2020,79.5775
1/23/2020,79.8075
1/22/2020,79.425
1/21/2020,79.1425
1/20/2020,
1/19/2020,
1/18/2020,
1/17/2020,79.6825
1/16/2020,78.81
1/15/2020,77.835
1/14/2020,78.17
1/13/2020,79.24
1/12/2020,
1/11/2020,
1/10/2020,77.5825
1/9/2020,77.4075
1/8/2020,75.7975
1/7/2020,74.5975
1/6/2020,74.95
1/5/2020,
1/4/2020,
1/3/2020,74.3575
1/2/2020,75.0875
1/1/2020,
12/31/2019,73.4125
12/30/2019,72.88
12/29/2019,
12/28/2019,
12/27/2019,72.45
12/26/2019,72.4775
12/25/2019,
12/24/2019,71.0675
12/23/2019,71
12/22/2019,
12/21/2019,
12/20/2019,69.86
12/19/2019,70.005
12/18/2019,69.935
12/17/2019,70.1025
12/16/2019,69.965
12/15/2019,
12/14/2019,
12/13/2019,68.7875
12/12/2019,67.865
12/11/2019,67.6925
12/10/2019,67.12
12/9/2019,66.73
12/8/2019,
12/7/2019,
12/6/2019,67.6775
12/5/2019,66.395
12/4/2019,65.435
12/3/2019,64.8625
12/2/2019,66.04
12/1/2019,
11/30/2019,
11/29/2019,66.8125
11/28/2019,
11/27/2019,66.96
11/26/2019,66.0725
11/25/2019,66.5925
11/24/2019,
11/23/2019,
11/22/2019,65.445
11/21/2019,65.5025
11/20/2019,65.7975
11/19/2019,66.5725
11/18/2019,66.775
11/17/2019,
11/16/2019,
11/15/2019,66.44
11/14/2019,65.66
11/13/2019,66.1175
11/12/2019,65.49
11/11/2019,65.55
11/10/2019,
11/9/2019,
11/8/2019,65.035
11/7/2019,64.8575
11/6/2019,64.31
11/5/2019,64.2825
11/4/2019,64.375
11/3/2019,
11/2/2019,
11/1/2019,63.955
10/31/2019,62.19
10/30/2019,60.815
10/29/2019,60.8225
10/28/2019,62.2625
10/27/2019,
10/26/2019,
10/25/2019,61.645
10/24/2019,60.895
10/23/2019,60.795
10/22/2019,59.99
10/21/2019,60.1275
10/20/2019,
10/19/2019,
10/18/2019,59.1025
10/17/2019,58.82
10/16/2019,58.5925
10/15/2019,58.83
10/14/2019,58.9675
10/13/2019,
10/12/2019,
10/11/2019,59.0525
10/10/2019,57.5225
10/9/2019,56.7575
10/8/2019,56.1
10/7/2019,56.765
10/6/2019,
10/5/2019,
10/4/2019,56.7525
10/3/2019,55.205
10/2/2019,54.74
10/1/2019,56.1475
9/30/2019,55.9925
9/29/2019,
9/28/2019,
9/27/2019,54.705
9/26/2019,54.9725
9/25/2019,55.2575
9/24/2019,54.42
9/23/2019,54.68
9/22/2019,
9/21/2019,
9/20/2019,54.4325
9/19/2019,55.24
9/18/2019,55.6925
9/17/2019,55.175
9/16/2019,54.975
9/15/2019,
9/14/2019,
9/13/2019,54.6875
9/12/2019,55.7713
9/11/2019,55.8975
9/10/2019,54.175
9/9/2019,53.5425
9/8/2019,
9/7/2019,
9/6/2019,53.315
9/5/2019,53.32
9/4/2019,52.2975
9/3/2019,51.425
9/2/2019,
9/1/2019,
8/31/2019,
8/30/2019,52.185
8/29/2019,52.2525
8/28/2019,51.3825
8/27/2019,51.04
8/26/2019,51.6225
8/25/2019,
8/24/2019,
8/23/2019,50.66
8/22/2019,53.115
8/21/2019,53.16
8/20/2019,52.59
8/19/2019,52.5875
8/18/2019,
8/17/2019,
8/16/2019,51.625
8/15/2019,50.435
8/14/2019,50.6875
8/13/2019,52.2425
8/12/2019,50.12
8/11/2019,
8/10/2019,
8/9/2019,50.2475
8/8/2019,50.8575
8/7/2019,49.76
8/6/2019,49.25
8/5/2019,48.335
8/4/2019,
8/3/2019,
8/2/2019,51.005
8/1/2019,52.1075
7/31/2019,53.26
7/30/2019,52.195
7/29/2019,52.42
7/28/2019,
7/27/2019,
7/26/2019,51.935
7/25/2019,51.755
7/24/2019,52.1675
7/23/2019,52.21
7/22/2019,51.805
7/21/2019,
7/20/2019,
7/19/2019,50.6475
7/18/2019,51.415
7/17/2019,50.8375
7/16/2019,51.125
7/15/2019,51.3025
7/14/2019,
7/13/2019,
7/12/2019,50.825
7/11/2019,50.4375
7/10/2019,50.8075
7/9/2019,50.31
7/8/2019,50.005
7/7/2019,
7/6/2019,
7/5/2019,51.0575
7/4/2019,
7/3/2019,51.1025
7/2/2019,50.6825
7/1/2019,50.3875
6/30/2019,
6/29/2019,
6/28/2019,49.48
6/27/2019,49.935
6/26/2019,49.95
6/25/2019,48.8925
6/24/2019,49.645
6/23/2019,
6/22/2019,
6/21/2019,49.695
6/20/2019,49.865
6/19/2019,49.4675
6/18/2019,49.6125
6/17/2019,48.4725
6/16/2019,
6/15/2019,
6/14/2019,48.185
6/13/2019,48.5375
6/12/2019,48.5475
6/11/2019,48.7025
6/10/2019,48.145
6/9/2019,
6/8/2019,
6/7/2019,47.5375
6/6/2019,46.305
6/5/2019,45.635
6/4/2019,44.91
6/3/2019,43.325
6/2/2019,
6/1/2019,
5/31/2019,43.7675
5/30/2019,44.575
5/29/2019,44.345
5/28/2019,44.5575
5/27/2019,
5/26/2019,
5/25/2019,
5/24/2019,44.7425
5/23/2019,44.915
5/22/2019,45.695
5/21/2019,46.65
5/20/2019,45.7725
5/19/2019,
5/18/2019,
5/17/2019,47.25
5/16/2019,47.52
5/15/2019,47.73
5/14/2019,47.165
5/13/2019,46.43
5/12/2019,
5/11/2019,
5/10/2019,49.295
5/9/2019,50.18
5/8/2019,50.725
5/7/2019,50.715
5/6/2019,52.12
5/5/2019,
5/4/2019,
5/3/2019,52.9375
5/2/2019,52.2875
5/1/2019,52.63
4/30/2019,50.1675
4/29/2019,51.1525
4/28/2019,
4/27/2019,
4/26/2019,51.075
4/25/2019,51.32
4/24/2019,51.79
4/23/2019,51.87
4/22/2019,51.1325
4/21/2019,
4/20/2019,
4/19/2019,
4/18/2019,50.965
4/17/2019,50.7825
4/16/2019,49.8125
4/15/2019,49.8075
4/14/2019,
4/13/2019,
4/12/2019,49.7175
4/11/2019,49.7375
4/10/2019,50.155
4/9/2019,49.875
4/8/2019,50.025
4/7/2019,
4/6/2019,
4/5/2019,49.25
4/4/2019,48.9225
4/3/2019,48.8375
4/2/2019,48.505
4/1/2019,47.81
3/31/2019,
3/30/2019,
3/29/2019,47.4875
3/28/2019,47.18
3/27/2019,47.1175
3/26/2019,46.6975
3/25/2019,47.185
3/24/2019,
3/23/2019,
3/22/2019,47.7625
3/21/2019,48.7725
3/20/2019,47.04
3/19/2019,46.6325
3/18/2019,47.005
3/17/2019,
3/16/2019,
3/15/2019,46.53
3/14/2019,45.9325
3/13/2019,45.4275
3/12/2019,45.2275
3/11/2019,44.725
3/10/2019,
3/9/2019,
3/8/2019,43.2275
3/7/2019,43.125
3/6/2019,43.63
3/5/2019,43.8825
3/4/2019,43.9625
3/3/2019,
3/2/2019,
3/1/2019,43.7425
2/28/2019,43.2875
2/27/2019,43.7175
2/26/2019,43.5825
2/25/2019,43.5575
2/24/2019,
2/23/2019,
2/22/2019,43.2425
2/21/2019,42.765
2/20/2019,43.0075
2/19/2019,42.7325
2/18/2019,
2/17/2019,
2/16/2019,
2/15/2019,42.605
2/14/2019,42.7
2/13/2019,42.545
2/12/2019,42.7225
2/11/2019,42.3575
2/10/2019,
2/9/2019,
2/8/2019,42.6025
2/7/2019,42.735
2/6/2019,43.56
2/5/2019,43.545
2/4/2019,42.8125
2/3/2019,
2/2/2019,
2/1/2019,41.63
1/31/2019,41.61
1/30/2019,41.3125
1/29/2019,38.67
1/28/2019,39.075
1/27/2019,
1/26/2019,
1/25/2019,39.44
1/24/2019,38.175
1/23/2019,38.48
1/22/2019,38.325
1/21/2019,
1/20/2019,
1/19/2019,
1/18/2019,39.205
1/17/2019,38.965
1/16/2019,38.735
1/15/2019,38.2675
1/14/2019,37.5
1/13/2019,
1/12/2019,
1/11/2019,38.0725
1/10/2019,38.45
1/9/2019,38.3275
1/8/2019,37.6875
1/7/2019,36.9825
1/6/2019,
1/5/2019,
1/4/2019,37.065
1/3/2019,35.5475
1/2/2019,39.48
1/1/2019,
12/31/2018,39.435
12/30/2018,
12/29/2018,
12/28/2018,39.0575
12/27/2018,39.0375
12/26/2018,39.2925
12/25/2018,
12/24/2018,36.7075
12/23/2018,
12/22/2018,
12/21/2018,37.6825
12/20/2018,39.2075
12/19/2018,40.2225
12/18/2018,41.5175
12/17/2018,40.985
12/16/2018,
12/15/2018,
12/14/2018,41.37
12/13/2018,42.7375
12/12/2018,42.275
12/11/2018,42.1575
12/10/2018,42.4
12/9/2018,
12/8/2018,
12/7/2018,42.1225
12/6/2018,43.68
12/5/2018,
12/4/2018,44.1725
12/3/2018,46.205
12/2/2018,
12/1/2018,
11/30/2018,44.645
11/29/2018,44.8875
11/28/2018,45.235
11/27/2018,43.56
11/26/2018,43.655
11/25/2018,
11/24/2018,
11/23/2018,43.0725
11/22/2018,
11/21/2018,44.195
11/20/2018,44.245
11/19/2018,46.465
11/18/2018,
11/17/2018,
11/16/2018,48.3825
11/15/2018,47.8525
11/14/2018,46.7
11/13/2018,48.0575
11/12/2018,48.5425
11/11/2018,
11/10/2018,
11/9/2018,51.1175
11/8/2018,52.1225
11/7/2018,52.4875
11/6/2018,50.9425
11/5/2018,50.3975
11/4/2018,
11/3/2018,
11/2/2018,51.87
11/1/2018,55.555
10/31/2018,54.715
10/30/2018,53.325
10/29/2018,53.06
10/28/2018,
10/27/2018,
10/26/2018,54.075
10/25/2018,54.95
10/24/2018,53.7725
10/23/2018,55.6825
10/22/2018,55.1625
10/21/2018,
10/20/2018,
10/19/2018,54.8275
10/18/2018,54.005
10/17/2018,55.2975
10/16/2018,55.5375
10/15/2018,54.34
10/14/2018,
10/13/2018,
10/12/2018,55.5275
10/11/2018,53.6125
10/10/2018,54.09
10/9/2018,56.7175
10/8/2018,55.9425
10/7/2018,
10/6/2018,
10/5/2018,56.0725
10/4/2018,56.9975
10/3/2018,58.0175
10/2/2018,57.32
10/1/2018,56.815
9/30/2018,
9/29/2018,
9/28/2018,56.435
9/27/2018,56.2375
9/26/2018,55.105
9/25/2018,55.5475
9/24/2018,55.1975
9/23/2018,
9/22/2018,
9/21/2018,54.415
9/20/2018,55.0075
9/19/2018,54.5925
9/18/2018,54.56
9/17/2018,54.47
9/16/2018,
9/15/2018,
9/14/2018,55.96
9/13/2018,56.6025
9/12/2018,55.2675
9/11/2018,55.9625
9/10/2018,54.5825
9/9/2018,
9/8/2018,
9/7/2018,55.325
9/6/2018,55.775
9/5/2018,56.7175
9/4/2018,57.09
9/3/2018,
9/2/2018,
9/1/2018,
8/31/2018,56.9075
8/30/2018,56.2575
8/29/2018,55.745
8/28/2018,54.925
8/27/2018,54.485
8/26/2018,
8/25/2018,
8/24/2018,54.04
8/23/2018,53.8725
8/22/2018,53.7625
8/21/2018,53.76
8/20/2018,53.865
8/19/2018,
8/18/2018,
8/17/2018,54.395
8/16/2018,53.33
8/15/2018,52.56
8/14/2018,52.4375
8/13/2018,52.2175
8/12/2018,
8/11/2018,
8/10/2018,51.8825
8/9/2018,52.22
8/8/2018,51.8125
8/7/2018,51.7775
8/6/2018,52.2675
8/5/2018,
8/4/2018,
8/3/2018,51.9975
8/2/2018,51.8475
8/1/2018,50.375
7/31/2018,47.5725
7/30/2018,47.4775
7/29/2018,
7/28/2018,
7/27/2018,47.745
7/26/2018,48.5525
7/25/2018,48.705
7/24/2018,48.25
7/23/2018,47.9025
7/22/2018,
7/21/2018,
7/20/2018,47.86
7/19/2018,47.97
7/18/2018,47.6
7/17/2018,47.8625
7/16/2018,47.7275
7/15/2018,
7/14/2018,
7/13/2018,47.8325
7/12/2018,47.7575
7/11/2018,46.97
7/10/2018,47.5875
7/9/2018,47.645
7/8/2018,
7/7/2018,
7/6/2018,46.9925
7/5/2018,46.35
7/4/2018,
7/3/2018,45.98
7/2/2018,46.795
7/1/2018,
6/30/2018,
6/29/2018,46.2775
6/28/2018,46.375
6/27/2018,46.04
6/26/2018,46.1075
6/25/2018,45.5425
6/24/2018,
6/23/2018,
6/22/2018,46.23
6/21/2018,46.365
6/20/2018,46.625
6/19/2018,46.4225
6/18/2018,47.185
6/17/2018,
6/16/2018,
6/15/2018,47.21
6/14/2018,47.7
6/13/2018,47.675
6/12/2018,48.07
6/11/2018,47.8075
6/10/2018,
6/9/2018,
6/8/2018,47.925
6/7/2018,48.365
6/6/2018,48.495
6/5/2018,48.3275
6/4/2018,47.9575
6/3/2018,
6/2/2018,
6/1/2018,47.56
5/31/2018,46.7175
5/30/2018,46.875
5/29/2018,46.975
5/28/2018,
5/27/2018,
5/26/2018,
5/25/2018,47.145
5/24/2018,47.0375
5/23/2018,47.09
5/22/2018,46.79
5/21/2018,46.9075
5/20/2018,
5/19/2018,
5/18/2018,46.5775
5/17/2018,46.7475
5/16/2018,47.045
5/15/2018,46.61
5/14/2018,47.0375
5/13/2018,
5/12/2018,
5/11/2018,47.1475
5/10/2018,47.51
5/9/2018,46.84
5/8/2018,46.5125
5/7/2018,46.29
5/6/2018,
5/5/2018,
5/4/2018,45.9575
5/3/2018,44.2225
5/2/2018,44.1425
5/1/2018,42.275
4/30/2018,41.315
4/29/2018,
4/28/2018,
4/27/2018,40.58
4/26/2018,41.055
4/25/2018,40.9125
4/24/2018,40.735
4/23/2018,41.31
4/22/2018,
4/21/2018,
4/20/2018,41.43
4/19/2018,43.2
4/18/2018,44.46
4/17/2018,44.56
4/16/2018,43.955
4/15/2018,
4/14/2018,
4/13/2018,43.6825
4/12/2018,43.535
4/11/2018,43.11
4/10/2018,43.3125
4/9/2018,42.5125
4/8/2018,
4/7/2018,
4/6/2018,42.095
4/5/2018,43.2
4/4/2018,42.9025
4/3/2018,42.0975
4/2/2018,41.67
4/1/2018,
3/31/2018,
3/30/2018,
3/29/2018,41.945
3/28/2018,41.62
3/27/2018,42.085
3/26/2018,43.1925
3/25/2018,
3/24/2018,
3/23/2018,41.235
3/22/2018,42.2125
3/21/2018,42.8175
3/20/2018,43.81
3/19/2018,43.825
3/18/2018,
3/17/2018,
3/16/2018,44.505
3/15/2018,44.6625
3/14/2018,44.61
3/13/2018,44.9925
3/12/2018,45.43
3/11/2018,
3/10/2018,
3/9/2018,44.995
3/8/2018,44.235
3/7/2018,43.7575
3/6/2018,44.1675
3/5/2018,44.205
3/4/2018,
3/3/2018,
3/2/2018,44.0525
3/1/2018,43.75
2/28/2018,44.53
2/27/2018,44.5975
2/26/2018,44.7425
2/25/2018,
2/24/2018,
2/23/2018,43.875
2/22/2018,43.125
2/21/2018,42.7675
2/20/2018,42.9625
2/19/2018,
2/18/2018,
2/17/2018,
2/16/2018,43.1075
2/15/2018,43.2475
2/14/2018,41.8425
2/13/2018,41.085
2/12/2018,40.6775
2/11/2018,
2/10/2018,
2/9/2018,39.1025
2/8/2018,38.7875
2/7/2018,39.885
2/6/2018,40.7575
2/5/2018,39.1225
2/4/2018,
2/3/2018,
2/2/2018,40.125
2/1/2018,41.945
1/31/2018,41.8575
1/30/2018,41.7425
1/29/2018,41.99
1/28/2018,
1/27/2018,
1/26/2018,42.8775
1/25/2018,42.7775
1/24/2018,43.555
1/23/2018,44.26
1/22/2018,44.25
1/21/2018,
1/20/2018,
1/19/2018,44.615
1/18/2018,44.815
1/17/2018,44.775
1/16/2018,44.0475
1/15/2018,
1/14/2018,
1/13/2018,
1/12/2018,44.2725
1/11/2018,43.82
1/10/2018,43.5725
1/9/2018,43.5825
1/8/2018,43.5875
1/7/2018,
1/6/2018,
1/5/2018,43.75
1/4/2018,43.2575
1/3/2018,43.0575
1/2/2018,43.065
1/1/2018,
12/31/2017,
12/30/2017,
12/29/2017,42.3075
12/28/2017,42.77
12/27/2017,42.65
12/26/2017,42.6425
12/25/2017,
12/24/2017,
12/23/2017,
12/22/2017,43.7525
12/21/2017,43.7525
12/20/2017,43.5875
12/19/2017,43.635
12/18/2017,44.105
12/17/2017,
12/16/2017,
12/15/2017,43.4925
12/14/2017,43.055
12/13/2017,43.0675
12/12/2017,42.925
12/11/2017,43.1675
12/10/2017,
12/9/2017,
12/8/2017,42.3425
12/7/2017,42.33
12/6/2017,42.2525
12/5/2017,42.41
12/4/2017,42.45
12/3/2017,
12/2/2017,
12/1/2017,42.7625
11/30/2017,42.9625
11/29/2017,42.37
11/28/2017,43.2675
11/27/2017,43.5225
11/26/2017,
11/25/2017,
11/24/2017,43.7425
11/23/2017,
11/22/2017,43.74
11/21/2017,43.285
11/20/2017,42.495
11/19/2017,
11/18/2017,
11/17/2017,42.5375
11/16/2017,42.775
11/15/2017,42.27
11/14/2017,42.835
11/13/2017,43.4925
11/12/2017,
11/11/2017,
11/10/2017,43.6675
11/9/2017,43.97
11/8/2017,44.06
11/7/2017,43.7025
11/6/2017,43.5625
11/5/2017,
11/4/2017,
11/3/2017,43.125
11/2/2017,42.0275
11/1/2017,41.7225
10/31/2017,42.26
10/30/2017,41.68
10/29/2017,
10/28/2017,
10/27/2017,40.7625
10/26/2017,39.3525
10/25/2017,39.1025
10/24/2017,39.275
10/23/2017,39.0425
10/22/2017,
10/21/2017,
10/20/2017,39.0625
10/19/2017,38.995
10/18/2017,39.94
10/17/2017,40.1175
10/16/2017,39.97
10/15/2017,
10/14/2017,
10/13/2017,39.2475
10/12/2017,39
10/11/2017,39.1375
10/10/2017,38.975
10/9/2017,38.96
10/8/2017,
10/7/2017,
10/6/2017,38.825
10/5/2017,38.8475
10/4/2017,38.37
10/3/2017,38.62
10/2/2017,38.4525
10/1/2017,
9/30/2017,
9/29/2017,38.53
9/28/2017,38.32
9/27/2017,38.5575
9/26/2017,38.285
9/25/2017,37.6375
9/24/2017,
9/23/2017,
9/22/2017,37.9725
9/21/2017,38.3475
9/20/2017,39.0175
9/19/2017,39.6825
9/18/2017,39.6675
9/17/2017,
9/16/2017,
9/15/2017,39.97
9/14/2017,39.57
9/13/2017,39.9125
9/12/2017,40.215
9/11/2017,40.375
9/10/2017,
9/9/2017,
9/8/2017,39.6575
9/7/2017,40.315
9/6/2017,40.4775
9/5/2017,40.52
9/4/2017,
9/3/2017,
9/2/2017,
9/1/2017,41.0125
8/31/2017,41
8/30/2017,40.8375
8/29/2017,40.7275
8/28/2017,40.3675
8/27/2017,
8/26/2017,
8/25/2017,39.965
8/24/2017,39.8175
8/23/2017,39.995
8/22/2017,39.945
8/21/2017,39.3025
8/20/2017,
8/19/2017,
8/18/2017,39.375
8/17/2017,39.465
8/16/2017,40.2375
8/15/2017,40.4
8/14/2017,39.9625
8/13/2017,
8/12/2017,
8/11/2017,39.37
8/10/2017,38.83
8/9/2017,40.265
8/8/2017,40.02
8/7/2017,39.7025
8/6/2017,
8/5/2017,
8/4/2017,39.0975
8/3/2017,38.8925
8/2/2017,39.285
8/1/2017,37.5125
7/31/2017,37.1825
7/30/2017,
7/29/2017,
7/28/2017,37.375
7/27/2017,37.64
7/26/2017,38.365
7/25/2017,38.185
7/24/2017,38.0225
7/23/2017,
7/22/2017,
7/21/2017,37.5675
7/20/2017,37.585
7/19/2017,37.755
7/18/2017,37.52
7/17/2017,37.39
7/16/2017,
7/15/2017,
7/14/2017,37.26
7/13/2017,36.9425
7/12/2017,36.435
7/11/2017,36.3825
7/10/2017,36.265
7/9/2017,
7/8/2017,
7/7/2017,36.045
7/6/2017,35.6825
7/5/2017,36.0225
7/4/2017,
7/3/2017,35.875
7/2/2017,
7/1/2017,
6/30/2017,36.005
6/29/2017,35.92
6/28/2017,36.4575
6/27/2017,35.9325
6/26/2017,36.455
6/25/2017,
6/24/2017,
6/23/2017,36.57
6/22/2017,36.4075
6/21/2017,36.4675
6/20/2017,36.2525
6/19/2017,36.585
6/18/2017,
6/17/2017,
6/16/2017,35.5675
6/15/2017,36.0725
6/14/2017,36.29
6/13/2017,36.6475
6/12/2017,36.355
6/11/2017,
6/10/2017,
6/9/2017,37.245
6/8/2017,38.7475
6/7/2017,38.8425
6/6/2017,38.6125
6/5/2017,38.4825
6/4/2017,
6/3/2017,
6/2/2017,38.8625
6/1/2017,38.295
5/31/2017,38.19
5/30/2017,38.4175
5/29/2017,
5/28/2017,
5/27/2017,
5/26/2017,38.4025
5/25/2017,38.4675
5/24/2017,38.335
5/23/2017,38.45
5/22/2017,38.4975
5/21/2017,
5/20/2017,
5/19/2017,38.265
5/18/2017,38.135
5/17/2017,37.5625
5/16/2017,38.8675
5/15/2017,38.925
5/14/2017,
5/13/2017,
5/12/2017,39.025
5/11/2017,38.4875
5/10/2017,38.315
5/9/2017,38.4975
5/8/2017,38.2525
5/7/2017,
5/6/2017,
5/5/2017,37.24
5/4/2017,36.6325
5/3/2017,36.765
5/2/2017,36.8775
5/1/2017,36.645
4/30/2017,
4/29/2017,
4/28/2017,35.9125
4/27/2017,35.9475
4/26/2017,35.92
4/25/2017,36.1325
4/24/2017,35.91
4/23/2017,
4/22/2017,
4/21/2017,35.5675
4/20/2017,35.61
4/19/2017,35.17
4/18/2017,35.3
4/17/2017,35.4575
4/16/2017,
4/15/2017,
4/14/2017,
4/13/2017,35.2625
4/12/2017,35.45
4/11/2017,35.4075
4/10/2017,35.7925
4/9/2017,
4/8/2017,
4/7/2017,35.835
4/6/2017,35.915
4/5/2017,36.005
4/4/2017,36.1925
4/3/2017,35.925
4/2/2017,
4/1/2017,
3/31/2017,35.915
3/30/2017,35.9825
3/29/2017,36.03
3/28/2017,35.95
3/27/2017,35.22
3/26/2017,
3/25/2017,
3/24/2017,35.16
3/23/2017,35.23
3/22/2017,35.355
3/21/2017,34.96
3/20/2017,35.365
3/19/2017,
3/18/2017,
3/17/2017,34.9975
3/16/2017,35.1725
3/15/2017,35.115
3/14/2017,34.7475
3/13/2017,34.8
3/12/2017,
3/11/2017,
3/10/2017,34.785
3/9/2017,34.67
3/8/2017,34.75
3/7/2017,34.88
3/6/2017,34.835
3/5/2017,
3/4/2017,
3/3/2017,34.945
3/2/2017,34.74
3/1/2017,34.9475
2/28/2017,34.2475
2/27/2017,34.2325
2/26/2017,
2/25/2017,
